                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.5227,                 1.6441,                 1.0363,                0.29996,                0.39617,                0.29679,                0.12612,                    nan,                    nan,                    nan,               0.067019,             0.00033314,             0.00033314
                      1,                 1.5051,                 1.6556,                 1.0294,                0.34923,                0.39358,                0.29403,                0.12963,                    nan,                    nan,                    nan,               0.034006,             0.00065327,             0.00065327
                      2,                 1.5105,                 1.6225,                 1.0299,                0.33983,                0.36575,                0.29983,                0.12455,                    nan,                    nan,                    nan,             0.00097977,             0.00096021,             0.00096021
                      3,                 1.5138,                 1.6729,                 1.0322,                0.33368,                0.38175,                0.29369,                0.12728,                    nan,                    nan,                    nan,              0.0009406,              0.0009406,              0.0009406
                      4,                  1.521,                 1.5714,                 1.0316,                0.35123,                0.38914,                0.31153,                0.13601,                    nan,                    nan,                    nan,              0.0009406,              0.0009406,              0.0009406
                      5,                 1.5048,                 1.5767,                 1.0258,                0.32628,                0.39514,                0.31086,                 0.1366,                    nan,                    nan,                    nan,              0.0009208,              0.0009208,              0.0009208
                      6,                 1.4893,                 1.5873,                 1.0317,                0.30834,                0.38164,                0.29041,                0.12701,                    nan,                    nan,                    nan,               0.000901,               0.000901,               0.000901
                      7,                 1.4927,                 1.5578,                 1.0242,                0.33047,                0.35554,                0.30674,                0.13936,                    nan,                    nan,                    nan,              0.0008812,              0.0008812,              0.0008812
                      8,                 1.4815,                 1.5412,                 1.0218,                0.33524,                0.40618,                0.31007,                0.13549,                    nan,                    nan,                    nan,              0.0008614,              0.0008614,              0.0008614
                      9,                 1.4815,                 1.5253,                 1.0195,                0.34014,                0.34113,                0.28917,                0.12336,                    nan,                    nan,                    nan,              0.0008416,              0.0008416,              0.0008416
                     10,                 1.4804,                 1.5298,                 1.0143,                0.35732,                0.34908,                0.31967,                0.14577,                    nan,                    nan,                    nan,              0.0008218,              0.0008218,              0.0008218
                     11,                 1.4736,                 1.5057,                 1.0106,                 0.3583,                0.37614,                0.33312,                0.15156,                    nan,                    nan,                    nan,               0.000802,               0.000802,               0.000802
                     12,                 1.4544,                 1.5433,                 1.0234,                0.34823,                0.38086,                0.31995,                0.14458,                    nan,                    nan,                    nan,              0.0007822,              0.0007822,              0.0007822
                     13,                 1.4791,                 1.4733,                 1.0139,                0.33445,                0.38335,                0.32755,                 0.1471,                    nan,                    nan,                    nan,              0.0007624,              0.0007624,              0.0007624
                     14,                 1.4547,                  1.498,                 1.0161,                0.33803,                0.38763,                0.32822,                0.14741,                    nan,                    nan,                    nan,              0.0007426,              0.0007426,              0.0007426
                     15,                 1.4456,                 1.4752,                 1.0102,                0.35022,                0.40906,                0.32158,                0.14369,                    nan,                    nan,                    nan,              0.0007228,              0.0007228,              0.0007228
                     16,                 1.4798,                 1.5007,                 1.0234,                0.36006,                0.37253,                0.32876,                0.14721,                    nan,                    nan,                    nan,               0.000703,               0.000703,               0.000703
                     17,                 1.4553,                 1.4879,                 1.0048,                0.41422,                 0.3762,                0.33757,                0.15481,                    nan,                    nan,                    nan,              0.0006832,              0.0006832,              0.0006832
                     18,                 1.4409,                 1.4338,                  1.008,                0.40456,                0.39246,                0.33622,                0.15091,                    nan,                    nan,                    nan,              0.0006634,              0.0006634,              0.0006634
                     19,                 1.4405,                 1.4424,                 1.0004,                0.31979,                0.38545,                 0.3211,                 0.1481,                    nan,                    nan,                    nan,              0.0006436,              0.0006436,              0.0006436
                     20,                  1.438,                 1.4717,                 1.0036,                0.40111,                0.36781,                 0.3399,                0.15752,                    nan,                    nan,                    nan,              0.0006238,              0.0006238,              0.0006238
                     21,                 1.4273,                 1.4272,                0.99968,                0.38815,                0.37288,                0.32572,                0.14618,                    nan,                    nan,                    nan,               0.000604,               0.000604,               0.000604
                     22,                 1.4079,                 1.4081,                0.99087,                 0.4297,                0.38354,                0.33229,                0.15208,                    nan,                    nan,                    nan,              0.0005842,              0.0005842,              0.0005842
                     23,                 1.4278,                 1.3948,                 1.0088,                0.38523,                0.42423,                0.34343,                0.15928,                    nan,                    nan,                    nan,              0.0005644,              0.0005644,              0.0005644
                     24,                 1.4058,                 1.3577,                0.99386,                 0.3907,                0.40787,                0.35462,                0.16553,                    nan,                    nan,                    nan,              0.0005446,              0.0005446,              0.0005446
                     25,                 1.4182,                 1.4084,                0.98608,                0.37329,                0.42276,                0.34922,                0.15783,                    nan,                    nan,                    nan,              0.0005248,              0.0005248,              0.0005248
                     26,                 1.4095,                 1.3598,                0.99341,                0.37656,                0.40903,                0.33815,                0.15379,                    nan,                    nan,                    nan,               0.000505,               0.000505,               0.000505
                     27,                 1.4198,                 1.3755,                0.99724,                0.39739,                0.40695,                0.34854,                0.15818,                    nan,                    nan,                    nan,              0.0004852,              0.0004852,              0.0004852
                     28,                 1.4259,                 1.3813,                 1.0018,                0.42053,                0.42868,                0.35639,                0.16249,                    nan,                    nan,                    nan,              0.0004654,              0.0004654,              0.0004654
                     29,                 1.4042,                 1.3485,                0.99092,                0.41389,                0.39709,                 0.3529,                0.16625,                    nan,                    nan,                    nan,              0.0004456,              0.0004456,              0.0004456
                     30,                  1.378,                 1.3478,                0.97863,                0.40672,                 0.4013,                0.34592,                0.16101,                    nan,                    nan,                    nan,              0.0004258,              0.0004258,              0.0004258
                     31,                  1.402,                 1.3218,                0.99592,                0.42541,                0.40789,                0.35006,                0.16076,                    nan,                    nan,                    nan,               0.000406,               0.000406,               0.000406
                     32,                 1.3895,                 1.3273,                0.98494,                0.47788,                0.40836,                0.35406,                0.16307,                    nan,                    nan,                    nan,              0.0003862,              0.0003862,              0.0003862
                     33,                 1.3601,                 1.3178,                0.97622,                0.42798,                0.40402,                0.35615,                0.16365,                    nan,                    nan,                    nan,              0.0003664,              0.0003664,              0.0003664
                     34,                 1.3589,                 1.3423,                0.97975,                0.42925,                 0.3892,                0.34896,                0.16273,                    nan,                    nan,                    nan,              0.0003466,              0.0003466,              0.0003466
                     35,                 1.3425,                 1.3147,                 0.9709,                 0.4645,                0.39313,                0.35182,                0.16574,                    nan,                    nan,                    nan,              0.0003268,              0.0003268,              0.0003268
                     36,                 1.3478,                 1.2901,                0.97645,                0.38555,                 0.4211,                0.35513,                0.16799,                    nan,                    nan,                    nan,               0.000307,               0.000307,               0.000307
                     37,                 1.3678,                 1.3038,                0.97678,                0.42398,                0.39743,                0.35635,                0.16792,                    nan,                    nan,                    nan,              0.0002872,              0.0002872,              0.0002872
                     38,                 1.3552,                 1.3039,                0.97196,                0.39949,                0.38673,                0.34396,                0.16012,                    nan,                    nan,                    nan,              0.0002674,              0.0002674,              0.0002674
                     39,                 1.3333,                 1.3019,                0.96166,                0.43974,                0.41256,                0.35531,                0.16569,                    nan,                    nan,                    nan,              0.0002476,              0.0002476,              0.0002476
                     40,                 1.3621,                 1.2711,                 0.9654,                0.37985,                0.38854,                0.34913,                0.16521,                    nan,                    nan,                    nan,              0.0002278,              0.0002278,              0.0002278
                     41,                 1.3492,                 1.2792,                0.96099,                0.38908,                0.39013,                0.34846,                0.16526,                    nan,                    nan,                    nan,               0.000208,               0.000208,               0.000208
                     42,                 1.3371,                  1.237,                0.96942,                0.38886,                0.38892,                0.34565,                0.16208,                    nan,                    nan,                    nan,              0.0001882,              0.0001882,              0.0001882
                     43,                 1.3466,                 1.2567,                0.95855,                0.39095,                0.36373,                0.35051,                0.16745,                    nan,                    nan,                    nan,              0.0001684,              0.0001684,              0.0001684
                     44,                 1.3446,                 1.2416,                0.96286,                0.40374,                0.39056,                0.35073,                0.16626,                    nan,                    nan,                    nan,              0.0001486,              0.0001486,              0.0001486
                     45,                 1.3202,                 1.2323,                0.95127,                0.41012,                0.37864,                0.34736,                0.16528,                    nan,                    nan,                    nan,              0.0001288,              0.0001288,              0.0001288
                     46,                 1.3285,                 1.2191,                0.95098,                 0.4158,                0.39165,                0.35257,                0.16513,                    nan,                    nan,                    nan,               0.000109,               0.000109,               0.000109
                     47,                  1.339,                 1.2041,                0.96449,                0.41453,                0.38525,                0.35271,                0.16521,                    nan,                    nan,                    nan,               8.92e-05,               8.92e-05,               8.92e-05
